patent_application_id;claim_id;X;Y;Z;intensidad;cited_document_id;label;titulo;text;text_b
EP5507581;100826_1;0.321766903;0.721432817;0.507558372;0.0009;EP6451301;1;Solic. EP5507581;With a power of 40kW, this electric motor is ideal for high-performance motorcycles, optimized for road riding and competitions. It offers robust acceleration and a dynamic and exciting driving experience. It works using magnets and electric current, eliminating the use of fossil fuels and reducing emissions. Its mounting on the rear wheel or in direct transmission allows a constant torque, facilitating precise control at high speed. With few moving parts, it requires low maintenance, ideal for those looking for a fast and sustainable motorcycle.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP8480843;100591_1;0.283179397;0.800547674;0.76435718;0.0007;EP6451301;1;Solic. EP8480843;Brushless direct current (BLDC) motor: This motor uses permanent magnets and is widely used in electric motorcycles for its efficiency and durability. Since it lacks brushes, it reduces wear and requires little maintenance. BLDC motors offer excellent performance in terms of acceleration, especially in direct transmission configurations, and provide a smooth driving experience, without noise or vibrations. In addition, its compact size makes it easy to integrate into modern motorcycle designs.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP2517622;100312_1;0.063847305;0.539923067;0.647991855;0.001;EP6451301;1;Solic. EP2517622;Alternating current (AC) motor: It uses alternating current instead of direct current, which allows for efficient energy management and better performance at high speed. Although its design can be more complex than that of direct current motors, the AC motor is ideal for high-performance motorcycles, as it allows for precise control of the torque. Its ability to regenerate energy when decelerating improves battery range, making it ideal for urban and sport motorcycles.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP7897812;100785_1;0.347979576;0.494720779;0.947080836;0.0005;EP6451301;1;Solic. EP7897812;In-Wheel Motor (Hub Motor): Located in the hub of the wheel, this type of motor does not need a transmission, reducing the complexity and weight of the system. Hub motors are popular in low and medium power electric motorcycles, used in urban environments. Their compact and quiet design makes them perfect for urban motorcycles and electric scooters. Although their torque is not as high as others, their simplicity and low maintenance are significant advantages.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP2486056;100245_1;0.5114391;0.811136012;0.926030491;0.0008;EP6451301;1;Solic. EP2486056;Induction Motor: This motor uses electromagnetism to generate movement and does not contain permanent magnets, making it more resistant to high temperatures. Induction motors are ideal for high-performance motorcycles, as they can handle sustained speeds without overheating. Their durability and energy efficiency make them suitable for sport and long-range motorcycles, especially on roads and terrains that require stability and consistency in power.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP0672399;100448_1;0.301786149;0.79703688;0.968416822;0.001;EP6451301;1;Solic. EP0672399;Switched Reluctance Motor (SRM): Used primarily in industrial applications, this motor has found its place in high-performance electric motorcycles due to its efficiency at high torque levels. The SRM is highly robust and fault-tolerant, but it generates more noise and vibration than other electric motors. Its simple design and durability make it ideal for motorcycles that are used for long periods of time or for long distances, although it requires more electronic control to manage its operation.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP9060887;100714_1;0.253429188;0.762446928;0.890212565;0.0007;EP6451301;1;Solic. EP9060887;Axial Flux Motor: This motor has a compact and lightweight design, making it perfect for sport and high-performance motorcycles. Unlike radial motors, the current flows through the motor axially, increasing power density and torque. This allows motorcycles equipped with axial flux motors to be fast and efficient, making the most of the battery's energy in a lightweight, high-performance structure.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP6505744;100921_1;0.262938159;0.681977586;0.705658647;0.0005;EP6451301;1;Solic. EP6505744;Permanent Magnet Brushless Motor (PMSM): Very similar to the BLDC, this motor uses permanent magnets and is ideal for high-efficiency motorcycles. The PMSM provides consistent torque and high performance throughout the speed range. It is common in high-end motorcycles and offers a smooth, quiet ride, as well as lower battery consumption, making it ideal for long-range or high-performance motorcycles.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP4145435;100705_1;-0.171603556;0.773374638;0.812772448;0.0008;EP6451301;1;Solic. EP4145435;Magnet-Assisted Reluctance Synchronous Motor (IPM): Uses a combination of magnets and reluctance design to optimize efficiency. IPM motors are highly efficient and offer precise torque control, which is beneficial for motorcycles that require quick speed changes. Their ability to generate high power with less energy consumption is ideal for sport or urban motorcycles, providing a dynamic and energy-efficient driving experience.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP3497609;100714_1;0.178962785;0.445657565;0.725140523;0.0004;EP6451301;1;Solic. EP3497609;Commutated field motor: This type of motor allows the magnetic flux to be adjusted to optimize performance in different driving conditions. It is ideal for motorcycles that require quick changes between speed and torque, such as in varied terrain or urban driving. Its flexibility and efficiency make motorcycles with a commutated field motor highly adaptable on different types of roads, offering a versatile and economical experience in battery consumption.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP6807123;100358_1;0.348818797;0.615664132;0.716229378;0.0008;EP6451301;1;Solic. EP6807123;External rotor motor: In this design, the rotor is on the outside, while the stator is located on the inside. This arrangement allows for higher torque in a compact design. This type of motor is suitable for light motorcycles and scooters, where size and acceleration capacity are important. Its design allows for fast and smooth acceleration, being ideal for urban environments and short journeys with many stops and starts. ;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP0058655;100305_1;0.230635335;0.962695483;0.812534672;0.0005;EP6451301;1;Solic. EP0058655;Three-phase AC motor: This motor uses a three-phase configuration to deliver power and is very efficient in high-performance applications. Three-phase motors are common in electric motorcycles that require a constant delivery of power at high speed. They offer excellent acceleration capability and good energy efficiency, which is ideal for long-range motorcycles and commutes where sustained power is required.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP3829928;100824_1;0.279463887;0.351537548;0.751991402;0.0007;EP6451301;1;Solic. EP3829928;Gearless traction motor: This motor is ideal for electric motorcycles looking to reduce complexity and weight by eliminating the need for a transmission. It offers instant torque and a very smooth riding experience. Its simplicity and low maintenance make it ideal for urban motorcycles, where rapid acceleration from rest and maneuverability are key aspects, providing a comfortable and quiet ride in urban environments.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP9455837;100451_1;0.003635039;0.971094323;0.970854351;0.0006;EP6451301;1;Solic. EP9455837;Inner permanent magnet motor: This type of motor has magnets placed inside the rotor, which improves high-speed performance. Inner permanent magnet motors are common in high-speed and sporty electric motorcycles, as their design allows for a balance between power and efficiency in high speed ranges. Their durability and ability to operate efficiently under intense demands make them suitable for high-performance motorcycles.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP3842425;100966_1;0.154715175;0.594358928;0.635168347;0.0008;EP6451301;1;Solic. EP3842425;Soft-start motor: This motor is designed to provide gradual acceleration, avoiding abruptness when starting the movement. Soft-start motors are ideal for electric motorcycles for urban use, as they offer a comfortable and controlled driving experience. Its design helps extend battery life and is perfect for drivers looking for a more stable and less aggressive driving experience in urban environments.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP6390968;100370_1;0.314632781;0.728597652;0.595866392;0.0001;EP6451301;1;Solic. EP6390968;Double-winding motor: This motor has two windings that allow switching between different power levels according to needs. It is ideal for electric motorcycles looking for versatility in driving, as it allows high power for straight sections and lower power in traffic situations. This motor optimizes energy consumption by adapting power to the driving situation, providing good autonomy and controlled acceleration capacity.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP7852759;100177_1;0.651997953;0.454552259;0.67872567;0.0003;EP7852759;0;Solic. EP7852759;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP6843795;100932_1;0.830968366;0.550574246;0.302836875;0.0008;EP7852759;1;Solic. EP6843795;Ergonomic Office Chair - Designed for daily use in offices, this ergonomic chair has adjustable lumbar support and a backrest that promotes proper posture. Its padded seat evenly distributes weight, providing comfort during long work days. The armrests and height are adjustable to adapt to different users. In addition, its swivel base and smooth wheels facilitate mobility in the workspace. With breathable materials and a professional design, it is ideal for corporate environments where comfort and productivity are essential.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP1627380;100117_1;0.738425687;0.470769305;0.95354296;0.0005;EP7852759;1;Solic. EP1627380;Ergonomic gaming chair - Designed for long gaming sessions, this ergonomic chair combines lumbar and cervical support with an attractive design. Its reclining backrest allows adjustments of up to 180 degrees, offering comfort in different positions. The adjustable armrests and padded seat ensure a healthy posture, reducing fatigue. Made with durable and breathable materials, it includes details such as footrests and removable cushions for greater support. Ideal for gamers looking for comfort and style during long hours in front of the screen.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP4109519;100738_1;0.580378555;0.25596415;0.57460924;0.0007;EP7852759;1;Solic. EP4109519;Ergonomic designer chair - This ergonomic chair is specially designed for creative professionals who work long hours in front of screens or design tables. Its high and flexible backrest adjusts to the spine, providing constant lumbar support. It includes a wide padded seat that allows freedom of movement, while the adjustable armrests offer comfort when using graphic tablets or design tools. Its rotating base facilitates access to different areas of the desk, and the resistant materials ensure durability in high-demand environments.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP1079139;100703_1;0.920332806;0.360039002;0.827542129;0.0003;EP7852759;1;Solic. EP1079139;Ergonomic Executive Chair - Featuring a sleek and functional design, this ergonomic executive chair combines comfort with style. Its high, curved backrest provides lumbar support, while the padded seat ensures even weight distribution. Adjustable leather armrests and a custom tilt mechanism ensure optimal comfort. Premium materials such as leather and metal make this chair a durable and professional choice, ideal for high-end offices or executive offices where aesthetics and functionality are key.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP9161030;100806_1;0.660150169;0.620340168;0.635612692;0.0004;EP7852759;1;Solic. EP9161030;Ergonomic Chair for Adjustable Desks - Designed to fit adjustable-height desks, this ergonomic chair offers lumbar support and a movable seat that makes it easy to transition between sitting and standing positions. Its design allows for quick adjustments in height, tilt, and backrest angle, promoting healthy posture in every position. Breathable and durable materials ensure all-day comfort. Ideal for those who work in dynamic workstations, where movement and ergonomics are essential.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP4629985;100666_1;0.882848008;0.979947923;0.600202597;0.001;EP7852759;1;Solic. EP4629985;Ergonomic Chair with Knee Support - This ergonomic chair focuses on improving spinal alignment through a design that includes a knee support. It promotes a more natural posture, reducing pressure on the lower back and promoting proper weight distribution. Made with padded and breathable materials, it is ideal for people with lumbar problems. Its inclined structure allows for an active position, perfect for desks where correct posture and long-term health are prioritized.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP9767738;100886_1;0.73592365;0.813506492;0.42734369;0.0005;EP7852759;1;Solic. EP9767738;Ergonomic Chair for Coworking - Designed for collaborative environments, this ergonomic chair combines modern design and functionality. It includes an adjustable backrest and lumbar support to maintain proper posture during long meetings. Its wheeled base facilitates mobility in shared spaces, while the padded seat ensures comfort in various activities. The durable, easy-to-clean materials are ideal for frequently used areas. Perfect for dynamic offices where ergonomics and practicality are sought.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP5108928;100511_1;0.609228006;0.273447427;0.628217326;0.001;EP7852759;1;Solic. EP5108928;Ergonomic Reclining Chair - With a backrest that can be tilted up to almost 180 degrees, this ergonomic chair is ideal for moments of rest between long days. It includes adjustable lumbar support and movable armrests that adapt to different positions. Its padded seat and breathable materials ensure comfort, while the stable base provides security when reclining. It is perfect for offices or work areas where the user can combine work and rest efficiently.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP0418828;100796_1;0.776172934;0.394927328;0.870782525;0.0009;EP7852759;1;Solic. EP0418828;Ergonomic Chair for Students - Designed for young people who spend long hours studying, this ergonomic chair offers lumbar support and height adjustment to accommodate growth. Its compact design fits on small desks, while the padded seat and curved backrest promote a healthy posture. The resistant and breathable materials ensure durability, making it an ideal choice for elementary, high school or university students who need comfort and support during their tasks.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
EP0367481;100172_1;0.777583943;0.578776871;0.680387259;0.0004;EP7852759;1;Solic. EP0367481;Ergonomic Chair for Artists - With a design thought for creative activities, this ergonomic chair includes a swivel seat and a flexible backrest that allows freedom of movement. Its adjustable height and lumbar support ensure proper posture while drawing or painting. Made from easy-to-clean, durable materials, it is ideal for art studios. Adjustable armrests make it easy to use creative tools, offering comfort and functionality during long artistic work days.;An ergonomic chair is designed to provide comfort and proper support during long hours of use, promoting a healthy posture and reducing the risk of discomfort or injury. Its structure usually includes an adjustable backrest that adapts to the natural curvature of the spine, a seat with adjustable height and depth, and armrests that promote a relaxed shoulder position. In addition, many incorporate lumbar support and breathable materials for greater comfort. These features make ergonomic chairs ideal for offices and workspaces, improving productivity and well-being.
